,명사,중복횟수,총조회수,총추천수
13,싱글벙글,30335,1556983791.0,16550106.0
162,근황,8135,448334538.0,5372012.0
117,이유,6549,326775093.0,4068801.0
409,훌쩍,5171,272509655.0,3257399.0
43,한국,4880,232282988.0,2968355.0
324,일본,4818,207122511.0,2097926.0
274,여자,2515,156624587.0,1859062.0
372,요즘,2030,129242622.0,1426399.0
145,레전드,2190,127018057.0,1589692.0
477,녀,2208,126545444.0,1803220.0
246,남자,1932,113451715.0,1300802.0
142,오늘,2663,108796309.0,1489930.0
120,만화,3412,103434176.0,1145400.0
383,미국,2245,96489750.0,989561.0
559,중국,2181,93926195.0,1232988.0
199,스압,3783,91001257.0,866736.0
196,사건,1990,88373014.0,1168664.0
85,말,1998,87725948.0,1007052.0
202,사람,1888,85951679.0,911623.0
50,게임,1953,84412231.0,828116.0
218,논란,1905,84288084.0,1040974.0
266,안,1699,73359691.0,824807.0
303,후기,2945,70445330.0,563958.0
423,결혼,1343,69366328.0,896789.0
175,세계,1793,68563773.0,657816.0
514,반응,1310,68344742.0,988990.0
328,개,1478,62610077.0,808536.0
185,여성,1247,61329446.0,936942.0
11,진짜,1194,61256514.0,756127.0
462,모음,1701,60281420.0,575758.0
886,때,1303,56067744.0,597039.0
14,충격,1076,55411193.0,755701.0
1033,집,1338,54729191.0,547150.0
800,사진,2580,54337079.0,424186.0
994,유튜버,1024,54287405.0,560581.0
74,속보,1078,53609300.0,1026786.0
141,누나,755,53459987.0,397245.0
233,살,1015,51316481.0,519673.0
1416,현재,1006,49642967.0,569618.0
480,남,1033,49471772.0,553433.0
863,법,1076,49469420.0,590351.0
24,실시간,878,48876429.0,679871.0
129,또,1226,47840839.0,664937.0
65,거,1064,46064815.0,540996.0
73,것,1220,44889942.0,478580.0
1826,가장,979,44795490.0,415886.0
126,깜짝,652,44767295.0,715864.0
241,초,931,44658902.0,605859.0
437,상황,884,43800751.0,547511.0
1499,영화,1156,43134866.0,415498.0
205,일,977,42647849.0,536589.0
1191,이재명,1059,42516109.0,1086984.0
93,촌,948,42508493.0,404701.0
1193,난리,792,42472499.0,503127.0
263,전,1180,42281418.0,492197.0
7336,블,1041,41620169.0,410875.0
893,명,1117,41311361.0,500970.0
5888,윤석열,871,41123922.0,1040551.0
3185,러시아,847,39469692.0,415817.0
2176,방법,820,39110466.0,397524.0
184,수준,740,38896322.0,436567.0
664,배우,779,38822153.0,297457.0
78,이,906,38335872.0,489893.0
1825,대한민국,758,38073941.0,527894.0
676,북한,964,36773713.0,451461.0
29,역대,847,36528841.0,419274.0
179,후,898,36439410.0,411359.0
101,생각,813,36131605.0,444019.0
52,정리,981,35797974.0,453952.0
1011,나라,739,35785523.0,446290.0
7,글,965,35749529.0,471000.0
627,현실,682,35599374.0,392240.0
174,군대,681,35565392.0,435068.0
172,위,947,35487539.0,390502.0
802,주의,1284,34726047.0,344775.0
313,나,879,34702809.0,405630.0
220,페미,600,34559762.0,686452.0
114,중,889,34386952.0,414854.0
1076,돈,785,33880590.0,365689.0
1117,한국인,663,32155306.0,352042.0
574,때문,711,32072100.0,384774.0
195,그,756,31980591.0,433915.0
